Example,How confident are you in the models prediction? (1-5),Is the model looking at the correct feature? (1-5)
1,4,4
2,4,3
3,4,3
4,4,3
5,4,3
6,2,2
7,4,4
8,4,3
9,2,2
10,4,3
11,5,4
12,4,4
13,4,4
14,4,4
15,4,3
16,4,3
17,4,4
18,4,4
19,4,3
20,5,3
21,5,5
22,4,3
23,5,5
24,5,5
25,4,3
26,5,5
27,5,5
28,4,3
29,5,5
30,5,5
31,5,3
32,4,5
33,4,4
34,4,5
35,5,5
36,5,5
37,5,5
38,4,3
39,5,5
40,5,5
41,5,3
42,5,2
43,5,2
44,3,2
45,5,3
46,4,3
47,5,4
48,3,2
49,4,2
50,4,2
51,5,4
52,5,4
53,5,4
54,5,2
55,4,2
56,5,2
57,5,2
58,5,3
59,5,3
60,4,4
61,3,2
62,5,2
63,5,2
64,5,4
65,4,2
66,5,4
67,5,2
68,5,4
69,5,3
70,4,5
71,5,2
72,5,4
73,5,3
74,5,2
75,4,5
76,5,5
77,3,4
78,5,1
79,4,4
80,5,3
81,5,3
82,5,4
83,5,3
84,5,3
85,5,5
86,5,2
87,5,4
88,5,4
89,4,4
90,3,2
91,5,3
92,5,3
93,5,5
94,3,4
95,1,4
96,5,4
97,4,3
98,5,4
99,5,3
100,5,4
101,5,4
102,5,4
103,5,4
104,5,5
105,4,4
106,5,5
107,5,3
108,5,5
109,4,3
110,5,5
111,5,5
112,5,2
113,5,3
114,5,4
115,5,5
116,5,5
117,4,2
118,4,4
119,5,3
120,4,3
121,3,2
122,5,2
123,5,4
124,5,2
125,2,4
126,5,3
127,2,3
128,5,3
129,5,2
130,5,3
131,5,2
132,5,3
133,5,4
134,3,4
135,5,3
136,5,2
137,5,4
138,5,4
139,3,4
140,5,3
141,2,5
142,5,2
143,5,4
144,2,4
145,4,4
146,5,5
147,2,5
148,5,5
149,5,4
150,5,3
151,1,1
152,5,2
153,5,2
154,5,3
155,2,2
156,5,5
157,5,3
158,4,4
159,5,3
160,5,5
161,4,4
162,2,4
163,1,2
164,3,4
165,5,3
166,1,4
167,1,4
168,5,3
169,1,3
170,5,5
171,2,4
172,5,2
173,5,4
174,2,4
175,2,2
176,1,3
177,2,4
178,1,1
179,1,3
180,1,2
181,5,5
182,5,5
183,1,4
184,1,4
185,2,5
186,4,5
187,1,3
188,5,4
189,2,5
190,3,5
191,4,5
192,5,5
193,4,5
194,2,5
195,4,5
196,5,5
197,1,4
198,4,5
199,5,1
200,5,3
201,2,2
202,4,3
203,4,3
204,1,1
205,4,2
206,1,2
207,1,2
208,1,2
209,3,3
210,5,4
211,3,2
212,5,2
213,4,2
214,2,3
215,1,1
216,1,2
217,1,2
218,4,2
219,3,3
220,5,3
221,2,2
222,1,1
223,4,1
224,1,1
225,1,3
226,2,1
227,1,3
228,4,1
229,5,1
230,3,2
231,4,1
232,1,2
233,1,1
234,1,5
235,2,3
236,1,2
237,1,1
238,1,1
239,2,4
240,1,1
